 Name of Medicinal Plants
Acilepis squarrosa
Aconitum naviculare
Aconitum orochryseum
Acronema nervosum
Actinidia strigosa
Actinodaphne obovata
Adiantum caudatum
Adiantum incisum
Adiantum philippense
Aeginetia indica
Aerides multiflora
Aerides odorata
Aeschynanthus parviflorus
Aeschynomene indica
Agave vivipara
Agrostophyllum callosum
Ajania khartensis
Ajania nubigena
Ajania tenuifolia
Ajuga forrestii
Ajuga lupulina
Alangium chinense
Albizia chinensis
Albizia lucidior
Aletris pauciflora
Aleuritopteris albomarginata
Aleuritopteris anceps
Aleuritopteris bicolor
Aleuritopteris dubia
Aleuritopteris formosana
Aleuritopteris insignis
Aleuritopteris rufa
Alisma plantago-aquatica
Alkekengi officinarum
Allardia glabra
Allium prattii
Alnus nitida
Alpinia nigra
Alsophila spinulosa
Alysicarpus vaginalis
Amanita muscaria
Amanita phalloides
Amaranthus blitum
Amaranthus tricolor
Ammannia auriculata
Amorphophallus bulbifer
Amorphophallus napalensis
Ampelocissus divaricata
Ampelocissus rugosa
Anaphalis contorta
Anaphalis margaritacea
Anaphalis triplinervis
Androsace muscoidea
Androsace tapete
Androsace umbellata
Anemonastrum obtusilobum
Anemonastrum polyanthes
Anemonastrum tetrasepalum
Anemonastrum trullifolium
Anethum graveolens
Angelica archangelica
Angelica cyclocarpa
Anisodus tanguticus
Anoectochilus roxburghii
Anthogonium gracile
Antidesma acidum
Antidesma bunius
Aralia cachemirica
Ardisia humilis
Argentina leuconota
Argentina peduncularis
Argentina polyphylla
Argyrolobium roseum
Arisaema concinnum
Arisaema consanguineum
Arisaema costatum
Arisaema erubescens
Arisaema intermedium
Arisaema jacquemontii
Arisaema nepenthoides
Arisaema propinquum
Arisaema tortuosum
Aristolochia acuminata
Aristolochia griffithii
Aristolochia saccata
Arivela viscosa
Artabotrys hexapetalus
Artemisia biennis
Artemisia caruifolia
Artemisia gmelinii
Artemisia vulgaris
Arundinella nepalensis
Arundo donax
Asclepias curassavica
Asparagus curillus
Aster falconeri
Aster indamellus
Aster trinervius
Aster verticillatus
Azanza lampas
Baccharoides anthelmintica
Bambusa tulda
Bassecoia hookeri
Bassia scoparia
Begonia annulata
Begonia hatacoa
Begonia megaptera
Begonia nepalensis
Begonia panchtharensis
Begonia picta
Begonia rubella
Begonia tribenensis
Berberis angulosa
Berberis aristata
Berberis concinna
Berberis koehneana
Berberis mucrifolia
Bergenia pacumbis
Biancaea decapetala
Bistorta affinis
Bistorta macrophylla
Bistorta milletii
Bistorta vacciniifolia
Blainvillea acmella
Blitum virgatum
Blumea hieraciifolia
Boehmeria virgata
Boenninghausenia albiflora
Boerhavia diffusa
Bonnaya ciliata
Bonnaya oppositifolia
Boschniakia himalaica
Botrychium lanuginosum
Botrychium lunaria
Brachycorythis obcordata
Bridelia retusa
Brucea javanica
Buddleja crispa
Buddleja paniculata
Bulbophyllum careyanum
Bulbophyllum leopardinum
Bulbophyllum odoratissimum
Bulbophyllum umbellatum
Bupleurum candollei
Bupleurum dalhousieanum
Bupleurum falcatum
Bupleurum gracillimum
Bupleurum longicaule
Bupleurum marginatum
Butomopsis latifolia
Caesulia axillaris
Cajanus scarabaeoides
Calamus tenuis
Calanthe masuca
Calanthe plantaginea
Calanthe puberula
Calanthe tankervilleae
Callicarpa arborea
Calvatia gigantea
Campanula pallida
Campylotropis speciosa
Capparis zeylanica
Caragana brevispina
Caragana jubata
Cardiocrinum giganteum
Carpesium nepalense
Casearia graveolens
Cassiope fastigiata
Castanopsis indica
Castanopsis purpurella
Castanopsis tribuloides
Celastrus stylosus
Celtis tetrandra
Centranthera grandiflora
Centranthera nepalensis
Cephalanthera longifolia
Ceratopteris thalictroides
Cereus repandus
Cestrum diurnum
Chaerophyllum villosum
Chamabainia cuspidata
Cheilanthes tenuifolia
Cheilanthus albomarginata
Chenopodiastrum murale
Chesneya nubigena
Chloranthus elatior
Chlorophytum tuberosum
Chonemorpha fragrans
Christella procera
Chrozophora rottleri
Chrysojasminum humile
Chrysopogon aciculatus
Cipadessa baccifera
Cirsium argyracanthum
Cirsium arvense
Cirsium falconeri
Cirsium verutum
Cissus adnata
Cissus repanda
Clausena excavata
Clausena kanpurensis
Clematis alternata
Clematis barbellata
Clematis buchananiana
Clematis connata
Clematis graveolens
Clematis grewiiflora
Clematis montana
Clematis napaulensis
Clematis tibetana
Clerodendrum chinense
Clerodendrum cordatum
Clerodendrum infortunatum
Clerodendrum japonicum
Cleyera japonica
Clinopodium piperitum
Clinopodium umbrosum
Clinopodium vulgare
Cocculus hirsutus
Cochlianthus gracilis
Codonopsis viridis
Coelogyne alba
Coelogyne fimbriata
Coelogyne flaccida
Coelogyne fuscescens
Coelogyne lancilabia
Coelogyne nitida
Coelogyne ovalis
Coelogyne pallida
Coelogyne porrecta
Coelogyne prolifera
Coelogyne stricta
Coffea benghalensis
Coleus strobilifer
Colocasia esculenta
Combretum roxburghii
Combretum wallichii
Commelina suffruticosa
Convolvulus arvensis
Conyza stricta
Corallodiscus lanuginosus
Corchorus aestuans
Corchorus olitorius
Corchorus tridens
