scientificName,decimalLatitude,decimalLongitude,countryCode,locality,stateProvince
Abies pindrow (Royle ex D.Don) Royle,29.4874,81.3996,NP,Manakot; 7000',Far-Western
Abies pindrow (Royle ex D.Don) Royle,29.4874,81.3996,NP,Manakot; 7000',Far-Western
Abies pindrow (Royle ex D.Don) Royle,29.7,81.333333,NP,Nepal:Dalaun,
Abies pindrow (Royle ex D.Don) Royle,29.35,81.133333,NP,Nepal:Kaotar,
Abies pindrow (Royle ex D.Don) Royle,29.7,81.366667,NP,Dhalaun – Rasa,Sudur Paschim Province
Abies pindrow (Royle ex D.Don) Royle,29.678056,82.104722,NP,Nepal:Karnali Zone:Humla District:Below Saathapla,Mid-Western
Abies pindrow (Royle ex D.Don) Royle,28.194114,85.449464,NP,Langtang NP,Bagmati
Abies pindrow (Royle ex D.Don) Royle,29.406389,81.136389,NP,Nepal:Bajhang District:Ghoda daune-Lokhada,
Abies pindrow (Royle ex D.Don) Royle,29.766667,81.25,NP,Nepal:Dhuli,
Abies pindrow (Royle ex D.Don) Royle,29.437909,82.122686,NP,Jumla District: Padmara [= Padmora],Mid-Western
Abies pindrow (Royle ex D.Don) Royle,29.3725,81.113889,NP,Nepal:Doti District:Khaptad National Park. On trail from Bichpani to Ghoda daune.,
Abies pindrow var. brevifolia Dallim. & A.B.Jacks.,29.166667,82.166667,NP,"Nepal:W.Nepal. Karnali Zone, Jumla Distri, Camp Site (3800m) - Quadrat #5 (_Abies_; 3340m)",
Abies pindrow var. brevifolia Dallim. & A.B.Jacks.,29.166667,82.166667,NP,"Nepal:Karnali Zone, Jumla Distr.",
Abies pindrow var. brevifolia Dallim. & A.B.Jacks.,29.644722,82.115,NP,Nepal:Karnali Zone:Humla District:Below Chankheli Lagna,Mid-Western
Abies spectabilis (D.Don) Mirb.,28.022529,85.411733,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.612,84.056,NP,Near Annapurna II base camp,West
Abies spectabilis (D.Don) Mirb.,28.798199,84.192047,NP,,West
Abies spectabilis (D.Don) Mirb.,28.253008,83.938548,NP,,
Abies spectabilis (D.Don) Mirb.,27.699917,86.011445,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.47,86.43,NP,Nepal,
Abies spectabilis (D.Don) Mirb.,27.569749,86.772871,NP,,East
Abies spectabilis (D.Don) Mirb.,27.807612,85.751564,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.376727,84.251872,NP,,West
Abies spectabilis (D.Don) Mirb.,28.170401,85.247195,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.616396,87.2878,NP,,East
Abies spectabilis (D.Don) Mirb.,27.805972,85.530423,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.110865,85.569889,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.212696,83.628249,NP,,West
Abies spectabilis (D.Don) Mirb.,28.46636,84.687763,NP,,West
Abies spectabilis (D.Don) Mirb.,27.433333,85.716667,NP,['Marpa Fields'],
Abies spectabilis (D.Don) Mirb.,27.745519,87.942643,NP,,East
Abies spectabilis (D.Don) Mirb.,28.625703,84.091762,NP,,West
Abies spectabilis (D.Don) Mirb.,27.427731,86.524174,NP,,East
Abies spectabilis (D.Don) Mirb.,29.81889,81.238609,NP,Bajhang District: Dhuli [= Dhulikot],Far-Western
Abies spectabilis (D.Don) Mirb.,28.176224,85.475898,NP,,Central
Abies spectabilis (D.Don) Mirb.,29.7,81.0,NP,Launi,Far-Western
Abies spectabilis (D.Don) Mirb.,27.420995,86.560454,NP,,East
Abies spectabilis (D.Don) Mirb.,28.608821,84.509771,NP,,West
Abies spectabilis (D.Don) Mirb.,28.450828,85.029028,NP,,West
Abies spectabilis (D.Don) Mirb.,27.91434,86.660638,NP,,East
Abies spectabilis (D.Don) Mirb.,27.84687,86.623606,NP,,East
Abies spectabilis (D.Don) Mirb.,27.533758,87.910461,NP,,East
Abies spectabilis (D.Don) Mirb.,27.910433,86.70811,NP,,East
Abies spectabilis (D.Don) Mirb.,28.25232,85.288281,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.5525,84.655278,NP,"Central Nepal: Gandaki Zone, Gorkha District",
Abies spectabilis (D.Don) Mirb.,28.470096,83.749137,NP,,West
Abies spectabilis (D.Don) Mirb.,28.681738,83.486856,NP,,West
Abies spectabilis (D.Don) Mirb.,28.04728,85.481085,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.699096,86.787269,NP,,East
Abies spectabilis (D.Don) Mirb.,28.451327,85.169554,NP,,West
Abies spectabilis (D.Don) Mirb.,27.333333,87.5,NP,"Nepal:E. Nepal: Koshi Zone, Sankhuwa Sabba Distr, Milke Danda, Chhippon (2980) - Dibati Khara (3320) - Gidde (3500m)",
Abies spectabilis (D.Don) Mirb.,28.606944,84.16,NP,"Nepal:Gandaki Zone:Manang District, near the town of lower Pisang",West
Abies spectabilis (D.Don) Mirb.,28.340535,84.25656,NP,,West
Abies spectabilis (D.Don) Mirb.,28.486,84.951,NP,"Shiar Khola [= Syar Khola] (river), near Tumje [= Domje, Chumchet, Chumje]; 11000'",West
Abies spectabilis (D.Don) Mirb.,28.58,83.0,NP,Phagune Dhuri,West
Abies spectabilis (D.Don) Mirb.,28.638,84.047,NP,"Annapurna Himal, Manang: Annapurna III, north-slope above Braga [Bhraka]; 3800",West
Abies spectabilis (D.Don) Mirb.,27.897573,86.611729,NP,,East
Abies spectabilis (D.Don) Mirb.,29.036,82.328,NP,Dhotbas; c. 9500',Mid-Western
Abies spectabilis (D.Don) Mirb.,27.805305,86.706108,NP,,
Abies spectabilis (D.Don) Mirb.,28.514473,84.508022,NP,,West
Abies spectabilis (D.Don) Mirb.,28.183333,85.45,NP,Ghora Tabela,Bagmati Province
Abies spectabilis (D.Don) Mirb.,28.500042,84.104248,NP,,West
Abies spectabilis (D.Don) Mirb.,27.715914,87.063845,NP,,East
Abies spectabilis (D.Don) Mirb.,27.957389,86.628319,NP,,East
Abies spectabilis (D.Don) Mirb.,27.780727,86.766664,NP,,East
Abies spectabilis (D.Don) Mirb.,28.57323,84.795676,NP,,West
Abies spectabilis (D.Don) Mirb.,28.748767,84.044249,NP,,West
Abies spectabilis (D.Don) Mirb.,28.60705,84.15994,NP,"Manang District, near the town of Lower Pisang.",Central
Abies spectabilis (D.Don) Mirb.,28.038676,85.371931,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.885752,86.658907,NP,,East
Abies spectabilis (D.Don) Mirb.,27.80735,86.682568,NP,,East
Abies spectabilis (D.Don) Mirb.,27.55,87.95,NP,Simbua Khola,East
Abies spectabilis (D.Don) Mirb.,27.948657,86.786958,NP,,East
Abies spectabilis (D.Don) Mirb.,28.5,83.05,NP,Dhawalagiri: Dhorpatan,West
Abies spectabilis (D.Don) Mirb.,27.3283,87.9386,NP,"Siringdham [Srindham, Siringaham]; 27 20 N, 87 57 E; 10500'",East
Abies spectabilis (D.Don) Mirb.,28.333333,85.083333,NP,"Ganesh Himal, Shiar Khola; 14000'",Central
Abies spectabilis (D.Don) Mirb.,28.647682,83.62765,NP,,West
Abies spectabilis (D.Don) Mirb.,29.664,81.092,NP,Bajhang: Surmasarowar [Surmasarowa; Surma Sarovar Lekh; Surma Sharowar],
Abies spectabilis (D.Don) Mirb.,27.933398,86.669757,NP,,East
Abies spectabilis (D.Don) Mirb.,29.403889,81.137778,NP,Nepal:Bajhang District:Ghoda daune-Lokhada,
Abies spectabilis (D.Don) Mirb.,27.901155,86.767441,NP,,East
Abies spectabilis (D.Don) Mirb.,28.111,85.34,NP,,Bagmati
Abies spectabilis (D.Don) Mirb.,27.42,88.05,NP,Taplejung District: Kangrang La,East
Abies spectabilis (D.Don) Mirb.,28.558655,84.642905,NP,,West
Abies spectabilis (D.Don) Mirb.,28.115,85.535,NP,,Bagmati
Abies spectabilis (D.Don) Mirb.,27.841954,86.70543,NP,,East
Abies spectabilis (D.Don) Mirb.,27.836,86.765,NP,"Thyanboche [Tenboozey, Tengboche, Thyangboche, Thyangtoche, Tenewuje,Tynboche, Tyanboche]",East
Abies spectabilis (D.Don) Mirb.,28.733311,83.680321,NP,Dhawalagiri: Chhairogaon [= Chhairo]; 10500',West
Abies spectabilis (D.Don) Mirb.,27.870106,86.715071,NP,,East
Abies spectabilis (D.Don) Mirb.,28.182,85.448,NP,,Bagmati
Abies spectabilis (D.Don) Mirb.,27.894815,85.481499,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.37,84.2,NP,Lamjung Himal: Rambrong; 12000',West
Abies spectabilis (D.Don) Mirb.,28.42,83.05,NP,Baglung District: Okhaldhungagaon; 10500',West
Abies spectabilis (D.Don) Mirb.,27.604445,87.28083,NP,Sankhuwasabha District: Kasuwa Khola; 11000',East
Abies spectabilis (D.Don) Mirb.,27.825556,86.733611,NP,Nepal:Eastern Development Region:Sagarmatha:Solu Khumbu:Sanasa - North of Sanasa,
Abies spectabilis (D.Don) Mirb.,28.60705,84.15994,NP,"Manang District, near the town of Lower Pisang.",Central
Abies spectabilis (D.Don) Mirb.,29.356667,81.071944,NP,Nepal:Doti District:Khaptad National Park. Trail from Jhingrana to Bichpani.,
Abies spectabilis (D.Don) Mirb.,28.549722,84.244722,NP,"Central Nepal: Gandaki Zone, Manang District",
Abies spectabilis (D.Don) Mirb.,28.57419,84.142352,NP,,West
Abies spectabilis (D.Don) Mirb.,28.45,84.5,NP,Nepal:Barha Pokhari,
Abies spectabilis (D.Don) Mirb.,28.733333,83.75,NP,"Nepal:Dhawalagiri:Mustamg District, around Ommang",
Abies spectabilis (D.Don) Mirb.,27.736627,86.610717,NP,,East
Abies spectabilis (D.Don) Mirb.,28.101944,85.369167,NP,,Bagmati Zone
Abies spectabilis (D.Don) Mirb.,27.952799,86.607822,NP,,East
Abies spectabilis (D.Don) Mirb.,27.872175,85.531003,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.792545,87.851266,NP,,East
Abies spectabilis (D.Don) Mirb.,28.511091,84.814504,NP,,West
Abies spectabilis (D.Don) Mirb.,27.842714,85.47423,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.1825,85.204167,NP,,Bagmati Zone
Abies spectabilis (D.Don) Mirb.,28.061704,85.265846,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.190907,85.480309,NP,,Central
Abies spectabilis (D.Don) Mirb.,27.548478,86.429557,NP,,East
Abies spectabilis (D.Don) Mirb.,27.577484,86.442633,NP,,East
Abies spectabilis (D.Don) Mirb.,28.2236,85.585,NP,Rasuwa District; Langtang; 11000',Central
Abies spectabilis (D.Don) Mirb.,27.69271,87.280553,NP,,East
Abies spectabilis (D.Don) Mirb.,28.168611,85.213333,NP,,Bagmati Zone
Abies spectabilis (D.Don) Mirb.,27.81798,86.631425,NP,,East
Abies spectabilis (D.Don) Mirb.,29.343056,82.160556,NP,"Nepal:Karnali Zone:Jumla District:Daphe Bhanjyan, N of Jumla",Mid-Western
Abies spectabilis (D.Don) Mirb.,27.941202,86.715693,NP,,East
Abies spectabilis (D.Don) Mirb.,27.978048,86.64949,NP,Sagarmatha - Nationalpark,
Abies spectabilis (D.Don) Mirb.,28.60705,84.15994,NP,"Manang District, near the town of Lower Pisang.",Central
Abies spectabilis (D.Don) Mirb.,28.608333,84.463611,NP,Manang,Gandaki
Abies spectabilis (D.Don) Mirb.,29.666667,81.033333,NP,Nepal:Surmasarowa,
Abies spectabilis (D.Don) Mirb.,28.625846,83.732583,NP,,West
Abies spectabilis (D.Don) Mirb.,27.825556,86.733611,NP,Nepal:Eastern Development Region:Sagarmatha:Solu Khumbu:Sanasa - North of Sanasa,
Abies spectabilis (D.Don) Mirb.,27.978048,86.64949,NP,Sagarmatha - Nationalpark,
Abies spectabilis (D.Don) Mirb.,28.666667,84.616667,NP,Nepal:Lo,
Abies spectabilis (D.Don) Mirb.,28.577565,83.642499,NP,,West
Abies spectabilis (D.Don) Mirb.,27.500601,86.527407,NP,,East
Abies spectabilis (D.Don) Mirb.,28.533333,84.233333,NP,"Nepal:C Nepal: Gandaki Zone, Manang Distr., Chame (2600m) - Kaleku (2680) - Bhartang (2770m) - Pisang (3090m).",
Abies spectabilis (D.Don) Mirb.,29.7,81.0,NP,,
Abies spectabilis (D.Don) Mirb.,27.166667,87.45,NP,"Nepal:Terathum District: Tinjure Danda Ridge, south-west of Chauki",
Abies spectabilis (D.Don) Mirb.,28.003046,85.359293,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.787938,83.636083,NP,,West
Abies spectabilis (D.Don) Mirb.,28.611996,84.049071,NP,,West
Abies spectabilis (D.Don) Mirb.,27.863705,86.684339,NP,,East
Abies spectabilis (D.Don) Mirb.,27.579442,86.657216,NP,,East
Abies spectabilis (D.Don) Mirb.,27.978048,86.64949,NP,Sagarmatha - Nationalpark,
Abies spectabilis (D.Don) Mirb.,28.43372,83.660786,NP,,West
Abies spectabilis (D.Don) Mirb.,27.669281,86.535106,NP,,East
Abies spectabilis (D.Don) Mirb.,28.013588,85.135826,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.613682,84.079585,NP,,West
Abies spectabilis (D.Don) Mirb.,28.190995,85.069774,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.576583,83.651845,NP,,West
Abies spectabilis (D.Don) Mirb.,27.516667,86.466667,NP,"East Nepal: Sagarmatha Zone, Solukhumbu District",
Abies spectabilis (D.Don) Mirb.,27.835278,86.756944,NP,Tengboche - Chumoa - trail down E from Tengboche,Eastern Development Region
Abies spectabilis (D.Don) Mirb.,28.258918,85.277027,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.60705,84.15994,NP,"Manang District, near the town of Lower Pisang.",Central
Abies spectabilis (D.Don) Mirb.,28.116667,85.35,NP,ridge between Phoprang & Sing Gompa,
Abies spectabilis (D.Don) Mirb.,28.004297,85.39563,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.2633,85.4942,NP,Langtang Himal; 10500',Central
Abies spectabilis (D.Don) Mirb.,28.60705,84.15994,NP,"Manang District, near the town of Lower Pisang.",Central
Abies spectabilis (D.Don) Mirb.,28.757748,84.193741,NP,,West
Abies spectabilis (D.Don) Mirb.,27.805278,86.706111,NP,Nepal:Sagarmatha Zone:Sagarmatha:Solu Khumbu:Namche Bazar - Jorsale - along trail,East
Abies spectabilis (D.Don) Mirb.,28.256138,85.419825,NP,"Gompaling, 3 miles East of Timure",Central
Abies spectabilis (D.Don) Mirb.,27.835306,86.756972,NP,Track from Tengboche to Nanche Bazaar; Tengboche to Phunki Tenga,
Abies spectabilis (D.Don) Mirb.,27.956983,85.631102,NP,,Central
Abies spectabilis (D.Don) Mirb.,28.127222,85.349444,NP,,Bagmati Zone
Abies spectabilis (D.Don) Mirb.,27.810833,86.696667,NP,Nepal:Eastern Development Region:Sagarmatha:Solu Khumbu:Phurte - Syangboche - Below the track,
Abies spectabilis (D.Don) Mirb.,27.805278,86.706111,NP,Nepal:Sagarmatha Zone:Sagarmatha:Solu Khumbu:Solu Khumbu; Namche Bazar to Phurte: along trail,East
Abies spectabilis (D.Don) Mirb.,27.805306,86.705972,NP,Path from Namche Bazaar to Phurte,
Abies spectabilis (D.Don) Spach,28.1,83.9,NP,"Pandag Vy.; C. Nepal, Mustang, Muktinath/Western Region",
Abies spectabilis (D.Don) Spach,28.22,85.57,NP,"Langtang, Kyangjin; C. Nepal, Rasuwa/Central Region",
Abies spectabilis (D.Don) Spach,28.48667,83.06917,NP,,Dhawalagiri
Abrus precatorius L.,28.628441,81.254684,NP,,Far-Western
Abrus precatorius L.,28.59,81.244392,NP,,
Abrus precatorius L.,27.0,86.7,NP,Dihigaon - Ritha Bhote - Tuwa Khola - Thulo Bhandare - Regmitar,Khotang
Abrus precatorius L.,27.266667,84.966667,NP,"NW. of Amlekganj, E. of Bherah Khola",Barai
Abrus precatorius L.,26.95,87.333333,NP,Tamur Bridge - Mohamabedi Khola,Dhankuta
Abrus precatorius L.,26.88,86.14,NP,"Province No. 2(第二省),Ganeshman Charanath, Dhanusha District",
Abrus precatorius L.,26.95,87.333333,NP,Teku Nala - Tamur Bridge - Dhara Pani,Dhankuta
Abrus precatorius L.,26.649126,86.993522,NP,,Koshi
Abrus precatorius L.,26.649126,86.993522,NP,,Koshi
Acalypha indica L.,27.038056,84.888889,NP,Nepal:Central Development Region:Narayani:Parsa:Ca. 3km North of Birgunj town centre,
Acer caesium Wall. ex Brandis,29.05,81.75,NP,Dillikot,Karnali Province
Acer caesium Wall. ex Brandis,28.642574,83.592127,NP,,West
Acer caesium Wall. ex Brandis,28.597548,84.448448,NP,,West
Acer caesium Wall. ex Brandis,28.597222,84.431111,NP,,West
Acer caesium Wall. ex Brandis,28.407524,84.911772,NP,Gorkha: Sirsium,
Acer caesium Wall. ex Brandis,28.467197,83.866237,NP,,West
Acer caesium Wall. ex Brandis,29.383056,82.153889,NP,"Nepal:Karnali Zone:Jumla District:Below Khalichaur, N of Jumla",Mid-Western
Acer caesium Wall. ex Brandis,28.621063,83.630567,NP,,West
Acer oblongum Wall. ex DC.,28.25306,83.93861,NP,Népal - E. Napalia,Gandaki Province
Acer oblongum Wall. ex DC.,27.601111,87.800833,NP,Nepal: Koshi Pradesh:: Tapejung District: Tamor River: North of Kisongma,Koshi Pradesh
Acer oblongum Wall. ex DC.,29.545,80.883056,NP,Nepal:Bajhang District:Banjh-Kalanga Gad,
Acer oblongum Wall. ex DC.,27.657309,85.427062,NP,,Bagmati
Acer oblongum Wall. ex DC.,28.155556,85.396667,NP,Nepal:Bagmati Zone:Rasuwa District:Thulo Syabru to Bamboo lodge,Central
Acer oblongum Wall. ex DC.,28.155556,85.396667,NP,Thulo Syabru to Bamboo lodge,Bagmati Zone
Acer oblongum Wall. ex DC.,28.39,84.12,NP,,
Acer oblongum Wall. ex DC.,28.517631,84.417342,NP,,
Acer oblongum Wall. ex DC.,28.15,85.4,NP,"Langtang National Park, Lama Hotel-Thulo Shyaphru,Rasuwa, Bagmati",
